Year,Month,Day,variable,depth_cm
2015,1,6,Survey,11.7
2015,3,2,Survey,78.7
2015,3,9,Survey,67
2015,3,12,EB,58.42
2015,3,12,EB,64.77
2015,3,12,EB,68.58
2015,3,12,WB,73.66
2015,3,12,WB,71.12
2015,3,12,WB,62.23
2015,3,16,Survey,78.7
2015,3,24,Survey,82.3
2015,3,31,Survey,65.5
2015,4,6,Survey,55.6
2015,4,14,Survey,43.7
2015,4,17,EB,19.05
2015,4,17,EB,11.43
2015,4,17,EB,20.95
2015,4,17,WB,41.91
2015,4,17,WB,34.29
2015,4,17,WB,29.21
2015,4,20,Survey,3.3
2015,4,25,Survey,0
2016,1,1,Survey,0
2016,1,5,Survey,16.4
2016,1,23,EB,16.51
2016,1,23,EB,16.51
2016,1,23,EB,12.7
2016,1,23,WB,16.51
2016,1,23,WB,13.97
2016,1,23,WB,15.24
2016,2,1,Survey,13.7
2016,2,29,Survey,0.8
2016,3,7,Survey,0
2016,3,7,EB,0
2016,3,7,WB,0
2016,3,14,Survey,0
2016,3,23,Survey,11.7
2016,3,28,Survey,0
2016,7,31,Survey,0
