Collection,Year,Date_Sampled,Date2,Month,Season,Sample,Plot,Watershed,Forest,Compartment,Horizon,DOC mg/kg,SUVA L/mg-m,Initial Moisture_perc,LOI_perc,SoilTemp_C,NO3_mg_kg,NH4_mg_kg,PNA_mg_kg_day,PNN_mg_kg_day,PNNM_mg_kg_day,PNN_perc,PNN_corr_perc
VT2015_1,2015,2015-03-12,3/1/2015,3,Winter,EBHW 1,EBHW 1,EB,HW,EBHW,O,4866,1.53,452.36,58.75,0.64,0.07,27.58,9.42,-0.01,9.41,-0.08,0
VT2015_1,2015,2015-03-12,3/1/2015,3,Winter,EBHW 2,EBHW 2,EB,HW,EBHW,O,4764,1.77,661.29,90.22,0.64,0.08,32.63,20.48,-1.23,19.25,-6.37,0
VT2015_1,2015,2015-03-12,3/1/2015,3,Winter,EBHW 3,EBHW 3,EB,HW,EBHW,O,6315,1.82,618.8,69.33,0.64,0.08,38.22,19.14,-0.04,19.1,-0.22,0
VT2015_1,2015,2015-03-12,3/1/2015,3,Winter,WBHW 1,WBHW 1,WB,HW,WBHW,O,1984.5,1.44,143.53,33.48,0.64,12.54,49.87,-0.03,4.8,4.78,100.57,100
VT2015_1,2015,2015-03-12,3/1/2015,3,Winter,WBHW 2,WBHW 2,WB,HW,WBHW,O,3531,1.43,318.87,57.01,0.64,2,81.28,11.59,-0.84,10.76,-7.77,0
VT2015_1,2015,2015-03-12,3/1/2015,3,Winter,WBHW 3,WBHW 3,WB,HW,WBHW,O,4299,1.7,380.58,56.51,0.64,1.41,70.64,,,,,
VT2015_1,2015,2015-03-12,3/1/2015,3,Winter,EBHW 1,EBHW 1,EB,HW,EBHW,B,,,127.9,21.68,0.86,0.06,8.73,-0.32,0.08,-0.24,-32.5,0
VT2015_1,2015,2015-03-12,3/1/2015,3,Winter,EBHW 2,EBHW 2,EB,HW,EBHW,B,,,106.8,19.39,0.86,0.06,11.11,-0.65,-0.79,-1.43,55.24,55.24
VT2015_1,2015,2015-03-12,3/1/2015,3,Winter,EBHW 3,EBHW 3,EB,HW,EBHW,B,,,171.7,24.36,0.86,0.06,10.47,-0.25,0.05,-0.19,-28.42,0
VT2015_1,2015,2015-03-12,3/1/2015,3,Winter,WBHW 1,WBHW 1,WB,HW,WBHW,B,,,90.51,22.19,0.86,11.61,31.35,1.44,3.34,4.78,69.88,69.88
VT2015_1,2015,2015-03-12,3/1/2015,3,Winter,WBHW 2,WBHW 2,WB,HW,WBHW,B,,,54.83,12.37,0.86,2.39,10.49,1.42,0.5,1.92,25.86,25.86
VT2015_1,2015,2015-03-12,3/1/2015,3,Winter,WBHW 3,WBHW 3,WB,HW,WBHW,B,,,92.96,15.09,0.86,2,10.55,-0.72,1.24,0.52,237.36,100
VT2015_2,2015,2015-04-17,4/1/2015,4,Vernal Transition,EBHW 1,EBHW 1,EB,HW,EBHW,O,,,163.67,18.33,1.1,0.36,21.08,,,,,
VT2015_2,2015,2015-04-17,4/1/2015,4,Vernal Transition,EBHW 2,EBHW 2,EB,HW,EBHW,O,2329.5,0.97,231.55,48,1.1,0.06,8.71,,,,,
