Watershed,Year,Month,Day,NO3_ueq_L
EB,2015,1,2,0.05
EB,2015,1,23,0.05
EB,2015,4,12,0.91
EB,2015,4,12,0.83
EB,2015,4,13,0.69
EB,2015,4,14,0.37
EB,2015,4,15,0.07
EB,2015,4,16,0.03
EB,2015,4,17,0.03
EB,2015,4,18,0.05
EB,2015,4,19,0.15
EB,2015,4,20,0.02
EB,2015,4,21,0.01
EB,2015,4,22,0.01
EB,2015,4,23,0.02
EB,2015,4,26,0.01
EB,2015,4,29,0.02
EB,2015,5,3,0.01
EB,2015,5,13,0.43
EB,2015,6,14,0.06
EB,2015,7,1,0.05
EB,2015,7,13,0.05
EB,2015,10,1,0.05
EB,2015,11,21,0.05
EB,2015,12,6,0.12
WB,2015,1,2,48.12
WB,2015,1,23,48.16
WB,2015,4,12,65.71
WB,2015,5,13,51.44
WB,2015,6,14,28.61
WB,2015,7,1,20.81
WB,2015,7,13,3.55
WB,2015,10,1,10.02
WB,2015,11,21,16.32
WB,2015,12,6,21.3
EB,2016,1,7,0.37
EB,2016,1,24,2.841269841
EB,2016,3,6,1.666825397
EB,2016,4,3,0.17
EB,2016,4,5,1.085952381
EB,2016,4,6,0.05
EB,2016,4,7,0.18
EB,2016,4,8,0.46
EB,2016,4,9,0.13
EB,2016,4,10,0.22
EB,2016,4,11,0.31
EB,2016,4,12,0.26
EB,2016,4,13,0.29
EB,2016,4,14,0.09
EB,2016,4,15,0.18
EB,2016,4,18,0.76
EB,2016,4,21,0.3
EB,2016,4,23,0.03
EB,2016,4,25,0.35
EB,2016,4,27,0.198412698
EB,2016,4,27,0.56
EB,2016,5,1,0.168015873
EB,2016,5,3,0.552539683
EB,2016,5,7,0.391904762
EB,2016,5,8,0.126587302
EB,2016,5,10,0.443095238
EB,2016,5,10,0.12
EB,2016,5,12,0.156825397
EB,2016,5,16,0.214761905
EB,2016,5,17,0.28
EB,2016,5,20,0.05
EB,2016,5,23,0.06
EB,2016,5,26,0.06
EB,2016,5,28,0.06
EB,2016,5,29,0.1
EB,2016,6,1,0.17
EB,2016,6,4,0.05
EB,2016,6,5,0.07
EB,2016,6,6,0.34
EB,2016,6,7,0.05
EB,2016,6,8,0.28
EB,2016,6,9,0.05
EB,2016,11,15,0.05
EB,2016,11,27,0.05
EB,2016,12,6,0.3
EB,2016,12,28,0.1
WB,2016,1,7,34.67190476
WB,2016,1,24,32.5
WB,2016,3,6,49.04174603
WB,2016,4,3,39.72222222
WB,2016,4,5,43.53301587
WB,2016,4,6,46.88031746
WB,2016,4,7,40.60888889
WB,2016,4,8,45.19769841
WB,2016,4,9,45.95611111
WB,2016,4,10,43.4947619
WB,2016,4,11,40.7484127
WB,2016,4,13,34.57555556
WB,2016,4,14,38.93007937
WB,2016,4,15,46.22666667
WB,2016,4,18,49.2
WB,2016,4,21,40.89
WB,2016,4,23,42.39
WB,2016,4,25,29.645
WB,2016,4,27,34.8
WB,2016,4,27,30.37873016
WB,2016,5,1,31.04830775
WB,2016,5,3,28.01603727
WB,2016,5,7,29.43413268
WB,2016,5,8,28.70209411
WB,2016,5,10,30.79386552
WB,2016,5,10,28.04634921
WB,2016,5,12,28.03667607
WB,2016,5,16,26.00634278
WB,2016,5,17,23.75055556
WB,2016,5,20,23.6734127
WB,2016,5,23,19.66142857
WB,2016,5,26,15.78150794
WB,2016,5,28,14.98325397
WB,2016,5,29,14.31095238
WB,2016,6,1,11.31714286
WB,2016,6,4,10.20373016
WB,2016,6,5,9.725634921
WB,2016,6,6,12.75984127
WB,2016,6,7,11.79896825
WB,2016,6,8,10.19539683
WB,2016,6,9,10.71896825
WB,2016,11,15,38.82
WB,2016,11,27,8.466269841
WB,2016,12,6,0.05
WB,2016,12,28,8.22
